"location_name","year","gdp_pc","pct_change_gni"
"African Union",2019,1899.69945970343,-6.11297560387237
"African Union",2020,1764.66671026324,1.26287028270519
"African Union",2021,1790.58002592918,1.12301577507357
"African Union",2022,1813.96199820418,1.15429945729398
"African Union",2023,1838.30915343766,1.18532543946113
"African Union",2024,1863.64630000933,1.2164728251178
"African Union",2025,1890.00763814413,1.44838440622892
"African Union",2026,1921.83854036205,1.44704335281295
"African Union",2027,1954.1755599552,1.44701029584259
"African Union",2028,1987.05593385217,1.44859482130001
"African Union",2029,2020.52615403137,1.45138111566493
"African Union",2030,2054.62561337635,1.45464159167569
"African Union",2031,2089.37844910355,1.45807094094153
"African Union",2032,2124.80242586248,1.4620103815692
"African Union",2033,2160.92432359962,1.46635493491281
"African Union",2034,2197.76946366803,1.47101300023991
"African Union",2035,2235.3618759074,1.47587022003218
"African Union",2036,2273.72355060097,1.48076058075324
"African Union",2037,2312.8728553133,1.48552185642004
"African Union",2038,2352.82428761201,1.49003401224897
"African Union",2039,2393.58926683744,1.49434415676777
"African Union",2040,2435.1805009607,1.49857602275907
"African Union",2041,2477.61425805175,1.50275793218785
"African Union",2042,2520.90791478651,1.5067147080353
"African Union",2043,2565.07406633083,1.51042667953912
"African Union",2044,2610.12472103757,1.51391601032604
"African Union",2045,2656.07250713206,1.51727737167562
"African Union",2046,2702.93295727859,1.52054061934297
"African Union",2047,2750.72271719607,1.52357926802692
"African Union",2048,2799.45462538224,1.52641537114496
"African Union",2049,2849.14219016138,1.52908529488853
"African Union",2050,2899.80011371978,1.53168806543672
"African Union",2051,2951.44650007253,1.53424889610447
"African Union",2052,3004.10061094052,1.53676309836417
"African Union",2053,3057.78190120409,1.53924919997469
"African Union",2054,3112.51083544974,1.54171968915625
"African Union",2055,3168.30873356282,1.54418196089035
"African Union",2056,3225.19763115467,1.54667072040807
"African Union",2057,3283.20133747602,1.54927025416784
"African Union",2058,3342.34745573876,1.55201258480294
"African Union",2059,3402.6656570654,1.55487774514551
"African Union",2060,3464.18576292984,1.55779756878838
"African Union",2061,3526.93576478243,1.56075729096938
"African Union",2062,3590.94379629017,1.56375251264757
"African Union",2063,3656.23853331604,1.56678413590568
"African Union",2064,3722.84942321239,1.56987421769126
"African Union",2065,3790.80762467574,1.57299145992957
"African Union",2066,3860.14376444145,1.57617101942809
"African Union",2067,3930.89081946864,1.57944332551226
"African Union",2068,4003.08406677245,1.58282140890158
"African Union",2069,4076.76042912733,1.58628609165403
"African Union",2070,4151.95703805443,1.58976796651853
"African Union",2071,4228.7087624435,1.59325212973053
"African Union",2072,4307.05061409203,1.59679039543171
"African Union",2073,4387.02104494343,1.60037158049594
"African Union",2074,4468.65899614534,1.60398303658162
"African Union",2075,4552.00380109982,1.60757522900957
"African Union",2076,4637.09320287895,1.61111856803232
"African Union",2077,4723.96421405168,1.61460398530539
"African Union",2078,4812.65411459178,1.61802332245562
"African Union",2079,4903.20047040947,1.6213532944836
"African Union",2080,4995.64024059798,1.62461947792453
"African Union",2081,5090.01250152332,1.62780645103788
"African Union",2082,5186.35616647498,1.63089692306352
"African Union",2083,5284.70979803098,1.63387731918001
"African Union",2084,5385.1117454432,1.6367584825142
"African Union",2085,5487.60159810182,1.63954195345113
"African Union",2086,5592.21965675197,1.64222439100963
"African Union",2087,5699.00662791711,1.64477281048422
"African Union",2088,5808.00164127022,1.64716500817408
"African Union",2089,5919.24277000182,1.64943009937438
"African Union",2090,6032.77041175002,NA
"Algeria",2019,3948.34327892571,-7.40202
"Algeria",2020,3608.50937290858,3.13986000000001
"Algeria",2021,3740.25605011347,-0.20890544958635
"Algeria",2022,3731.17047020978,-0.208905449586168
"Algeria",2023,3722.1069603893,-0.208905449586328
"Algeria",2024,3713.06546704083,-0.208905449586326
"Algeria",2025,3704.04593668344,1.73731524230097
"Algeria",2026,3778.8726281251,1.73731524230096
"Algeria",2027,3855.21091900365,1.73731524230112
"Algeria",2028,3933.09134565331,1.73731524230095
"Algeria",2029,4012.54506128315,1.73731524230097
"Algeria",2030,4093.6038484388,1.73731524230096
"Algeria",2031,4176.30013171595,1.73731524230113
"Algeria",2032,4260.66699073054,1.73731524230095
"Algeria",2033,4346.73817335106,1.73731524230095
"Algeria",2034,4434.5481091982,1.73731524230098
"Algeria",2035,4524.13192341712,1.7373152423011
"Algeria",2036,4615.52545072797,1.73731524230097
"Algeria",2037,4708.76524976027,1.73731524230096
"Algeria",2038,4803.88861767685,1.73731524230096
"Algeria",2039,4900.9336050932,1.73731524230112
"Algeria",2040,4999.93903129825,1.73731524230096
"Algeria",2041,5100.94449978255,1.73731524230095
"Algeria",2042,5203.99041408026,1.73731524230097
"Algeria",2043,5309.11799393107,1.73731524230111
"Algeria",2044,5416.36929176865,1.73731524230097
"Algeria",2045,5525.78720954215,1.73731524230096
"Algeria",2046,5637.4155158776,1.73731524230096
"Algeria",2047,5751.29886358595,1.73731524230112
"Algeria",2048,5867.48280752475,1.73731524230095
"Algeria",2049,5986.0138228207,1.73731524230096
"Algeria",2050,6106.93932346036,1.73731524230097
"Algeria",2051,6230.30768125635,1.73731524230097
"Algeria",2052,6356.16824519671,1.73731524230112
"Algeria",2053,6484.57136118521,1.73731524230096
"Algeria",2054,6615.56839218027,1.73731524230096
"Algeria",2055,6749.21173874096,1.73731524230096
"Algeria",2056,6885.55485998783,1.73731524230112
"Algeria",2057,7024.65229498734,1.73731524230096
"Algeria",2058,7166.55968456811,1.73731524230096
"Algeria",2059,7311.3337935781,1.73731524230096
"Algeria",2060,7459.03253359128,1.73731524230111
"Algeria",2061,7609.714986073,1.73731524230096
"Algeria",2062,7763.44142601336,1.73731524230097
"Algeria",2063,7920.27334603806,1.73731524230096
"Algeria",2064,8080.27348100622,1.73731524230112
"Algeria",2065,8243.50583310521,1.73731524230096
"Algeria",2066,8410.03569745231,1.73731524230095
"Algeria",2067,8579.9296882137,1.73731524230096
"Algeria",2068,8753.25576525095,1.73731524230113
"Algeria",2069,8930.08326130596,1.73731524230096
"Algeria",2070,9110.48290973484,1.73731524230096
"Algeria",2071,9294.52687280234,1.73731524230096
"Algeria",2072,9482.28877054763,1.73731524230113
"Algeria",2073,9673.84371023337,1.73731524230097
"Algeria",2074,9869.26831638948,1.73731524230096
"Algeria",2075,10068.6407614641,1.73731524230095
"Algeria",2076,10272.0407970937,1.73731524230097
"Algeria",2077,10479.5497860045,1.73731524230112
"Algeria",2078,10691.2507345589,1.73731524230097
"Algeria",2079,10907.2283259591,1.73731524230095
"Algeria",2080,11127.5689541212,1.73731524230113
"Algeria",2081,11352.3607582346,1.73731524230095
"Algeria",2082,11581.6936580181,1.73731524230096
"Algeria",2083,11815.6593896894,1.73731524230097
"Algeria",2084,12054.3515426609,1.73731524230096
"Algeria",2085,12297.8655969762,1.73731524230111
"Algeria",2086,12546.2989615041,1.73731524230096
"Algeria",2087,12799.7510129028,1.73731524230096
"Algeria",2088,13058.3231353722,1.73731524230097
"Algeria",2089,13322.1187612091,1.73731524230111
"Algeria",2090,13591.2434121811,NA
"Angola",2019,2973.59115979868,-5.11355999999999
"Angola",2020,2796.78142943705,-0.899559999999996
"Angola",2021,2767.52709568514,0.0395525212242273
"Angola",2022,2768.79991747805,0.0395525212241921
"Angola",2023,2770.0733246583,0.0395525212241849
"Angola",2024,2771.34731749512,0.0395525212242015
"Angola",2025,2772.62189625785,1.73731524230096
"Angola",2026,2828.63257394978,1.73731524230104
"Angola",2027,2885.7747423869,1.73731524230096
"Angola",2028,2944.07125919848,1.73731524230104
"Angola",2029,3003.54544376855,1.73731524230096
"Angola",2030,3064.22108656393,1.73731524230097
"Angola",2031,3126.12245865076,1.73731524230111
"Angola",2032,3189.27432140325,1.73731524230096
"Angola",2033,3253.70193640851,1.73731524230096
"Angola",2034,3319.43107557162,1.73731524230096
"Angola",2035,3386.48803142462,1.73731524230112
"Angola",2036,3454.89962764397,1.73731524230097
"Angola",2037,3524.69322978031,1.73731524230096
"Angola",2038,3595.89675620511,1.73731524230096
"Angola",2039,3668.53868927832,1.73731524230112
"Angola",2040,3742.64808674174,1.73731524230095
"Angola",2041,3818.2545933425,1.73731524230097
"Angola",2042,3895.38845269133,1.73731524230096
"Angola",2043,3974.08051936044,1.73731524230111
"Angola",2044,4054.36227122575,1.73731524230097
"Angola",2045,4136.26582205843,1.73731524230096
"Angola",2046,4219.82393437088,1.73731524230096
"Angola",2047,4305.07003252215,1.73731524230111
"Angola",2048,4392.03821608813,1.73731524230096
"Angola",2049,4480.76327350183,1.73731524230097
"Angola",2050,4571.28069596924,1.73731524230096
"Angola",2051,4663.62669166626,1.73731524230112
"Angola",2052,4757.83820022247,1.73731524230096
"Angola",2053,4853.95290749745,1.73731524230096
"Angola",2054,4952.00926065566,1.73731524230095
