"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.94513143492128","0.965521820349734","0.97981096502876","1.00782860022391","1.04895437630969","1.06204160374698","1.07715577119204","1.09813459419794","1.15724761432624","1.16587273957651","1.15233411644274","1.19107434127492","1.22561363485805","1.22851370599273","1.22227797447781","1.22486029942634","1.22389837442709","1.26279574927354","1.30153919070581","1.31400044476811","1.29007138606851","1.30294060707092","1.31780135631561","1.28514099121094","1.30884277820587","1.36231791973114","1.35504460334778","1.35068964958191","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.19029673349756","10.0743573047471","10.9159997755479","11.7414972413099","12.2171401764815","14.5777877016151","14.5994026096872","14.175491627166","14.5467283976353","16.6134779097919","17.2422638894206","17.5094188570492","17.0358776005124","17.0225200169416","17.4458279431472","17.2055580487587","16.912757482167","16.9951151794355",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06300875915459E-08","2.12135416763635E-08","1.19574417656852E-07","1.18884166431354E-06","2.64920798481334E-05","0.000499627369441944","0.0240441416908137","0.0461983611785588","0.0636651705722782","0.412641473463041","2.09082142166263","4.22185128798357","10.0776642447376","19.186977222074","24.9319166008394","34.4246480895591","39.1332409924547","39.7514293798362","46.5458711689438","38.4511471952025","50.0527667954542","64.6057510375977","65.6816711425781","66.0193710327148","65.0006713867188","68.1820449829102","80.7789688110352","92.9517211914063","117.203323936123","156.55023926674",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33852143942509","3.06536651263591","9.97977040137433","21.9982333622454","29.2581719199959","31.476838381609","35.4241447330918","38.7377161702911","40.7190467076631","41.1016311795969","42.0093170796519","42.8057661116812","42.9264174296511","44.641970640935","44.9392811873901","45.5272209119497","44.4659668780888","44.6811991685175","44.5612197392924","44.2954883191141","44.1665973267574","43.8576795777798","43.6550990559766","44.1136711198315","42.8939996417697","42.6944390538413","42.6537942794049","41.3932778528647","41.250307033105","40.5665735661516",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16701719555833","1.13799570528045","1.13274313080487","1.12066822799427","1.09435806546038","1.11376608968752","1.15688143903474","1.12644021449406","1.06651261411036","1.14010147564128","1.24296563370617","1.18771294988244","1.21330804175158","1.23969653600471","1.3098251006179","1.48018394069882","1.60856721738739","1.7628298735156","2.04967252715022","1.72531819661578","1.91845862534713","2.12660837173462","2.17772459983826","2.21331596374512","2.18256711959839","2.18778467178345","2.18975210189819","2.22179198265076","2.34870203760025","2.2645917877681",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293642788482796","0.68311655811598","0.77523999790667","0.730329409989933","0.735434660529603","0.743129894990779","0.72938540524516","0.713694801177804","0.69371638944958","0.671283863510043","0.663416498388059","0.642063804363168","0.825195079436477","0.895180745640988","1.03178803456852","1.10385832891341","1.21866090817435","1.36408481218919","1.64810141072845","1.88715394905988","2.25557148369807","2.73312783241272","3.21815371513367","3.94096684455872","5.45196390151978","6.86654806137085","9.29496574401855","10.2568216323853","14.0989426598562","20.994993906183",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00512600236840386","0.00889454420194585","0.0581619040135823","0.84721788723456","34.8997294007536","89.2735841056874","104.844131259463","121.346787447587","132.83399700058","131.013884171295","126.388788862778","128.657680536236","129.640056968792","133.129238675964","137.778591270483","137.903942698226","140.034629547999","142.205110878944","147.846760400888","150.392352099023","160.209068988687","163.650009155273","157.963836669922","159.846099853516","165.185897827148","172.923522949219","161.228881835938","155.970703125","156.622895422913","156.190422206196",
"American Samoa","ASM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
