"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burundi","BDI","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","828.9864418361","862.68962060214","838.898138521078","840.888229104566","815.395040785896","826.95027829884","787.955228515953","794.611788672206","786.220193477152","809.553029937166","812.508219715402","825.733946354095","823.743088669409","841.740403061781","846.029433340923","860.478281681507","878.119913746943","884.172568572234","824.869946899586","794.520769717277","772.401290148852","763.433240369568","753.908747534343",
"Belgium","BEL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35737.1456103689","36389.4102121916","36790.4077055571","36649.2993266051","37991.3798215638","38723.2383277438","39206.1458726393","40636.6511462298","41346.090400057","42663.0540537043","44238.8137927832","44257.4260301292","44750.3136629183","45105.5683413215","46265.4500551054","47010.4619747063","47980.2446565781","49357.4802370882","49673.6595708597","48031.841584136","48791.2436557365","48313.3659385238","49399.7056616105","49464.9521049786","49849.0553623451","50237.8086452458","50491.8823292921","51319.3657175499","51619.4312610867","",
"Benin","BEN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2133.20715114814","2158.40160152591","2103.09023244868","2189.50624872497","2150.32281322059","2209.3955506842","2234.51596456191","2306.68477513696","2345.94106854374","2404.36410064059","2469.91552122406","2523.01690356966","2554.03109599379","2561.77526212228","2598.74239558435","2574.88663912066","2595.967659491","2669.7788124227","2735.1503869617","2715.07973975072","2689.89413297999","2704.02984986536","2743.55875249004","2861.12230653374","2962.29563753896","2922.06810969211","2935.45289959898","3010.89962119751","3128.72126260766","3254.24562700147",
"Burkina Faso","BFA","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020.79458364495","1083.41097674147","1056.42908654662","1061.45657089203","1045.29908890245","1078.28568977853","1171.69047472429","1207.64278698454","1259.9407018591","","","","","","","","","","","","","","","","","1852.32093763418","1859.23085762324","1976.75167439707","2069.45135913147","2132.95557021836",
"Bangladesh","BGD","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1554.41059243265","1571.95030248536","1624.95270618754","1669.13419383294","1704.70271142434","1752.20123513318","1784.5520135964","1828.57593176812","1883.76593556236","1935.79583752087","2002.46628441894","2060.79564206153","2119.63825752701","2182.32074655245","2267.94961405853","2383.03034916519","2538.23395942745","2702.96554435158","2862.59859455814","2979.6058236625","3116.66270227935","3273.89016171587","3462.17144064533","3614.29442368147","3742.44805455798","3936.27566926908","4143.06805173716","4339.89283530368","4643.41312174254","4976.20914827272",
"Bulgaria","BGR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11189.3062123997","10197.4356072554","10321.7216357301","10244.706574687","10449.2646159469","10717.0631806364","11237.5192790796","9737.74579358097","10331.2725134811","9570.82917979353","9977.3155575272","10818.8116371345","11916.567473565","12580.2893615072","13438.5372172677","14390.5761508306","15088.1185341895","15423.5018300139","16908.4190612905","16679.0122198103","17073.0449123528","17389.7848962163","17885.6213109511","17887.4760800549","18576.6859578021","18997.2900276881","19857.7169593107","20852.6034146304","22405.6189840439","",
"Bahrain","BHR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48262.1221432537","46704.4255486116","45267.2175961978","45702.1142586746","45927.4707085422","46335.5393126241","45910.303859963","46256.7222905461","44585.6723041708","40316.561523715","40352.6047160395","37769.0342401276","43387.0269049183","44951.2652436286","45631.1950910523","45633.5527917461","45484.3359875817","44966.495440056","43670.5909892488","",
"Bahamas, The","BHS","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36827.2635303696","34595.0686550786","33563.8937066797","32603.2447382467","33031.723880848","39246.693989168","43186.5339199455","35621.0560889013","36647.8428475486","39336.6955128126","40369.2371756372","40549.5354944111","41036.5145598226","39988.4757926383","39714.3059060505","40163.1851678206","40314.0072192446","40085.5748409457","39144.6281453714","36563.62064684","36347.4480863108","36181.7068490642","37181.753773169","35985.8557755623","34564.4967487343","34614.7080528216","34330.384220138","34260.2808925065","33481.0155739278","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10292.5711722605","10906.0859023877","11591.3035811456","11314.3657580827","11252.4037764461","11398.3919981666","11492.0195152079","12032.0810216395","12321.9508033145","12881.5515439913","13383.4863916097","13738.5246827048","14377.9008010144","14871.8111367895",
"Belarus","BLR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8890.66779541131","8779.67176874816","7919.73132891545","7301.39346090765","6431.06783760601","5784.37459870173","5976.37486101654","6669.26150626058","7263.06671356768","7554.66375254398","8024.44355951762","8448.81068670507","8934.15732542529","9660.63409911862","10833.7803957227","11918.9675240443","13178.5219702766","14309.9799341238","15821.2994080794","15783.8221555126","16988.4414509721","17850.0160248818","18144.9439497459","18075.6522526866","18461.982245495","17482.7013980392","17003.7708345099","17584.766223036","18186.9606010657","18546.487129986",
