location_id,location_name,parent_id,level,sort_order
4643,Aguascalientes,130,4,224
4644,Baja California,130,4,225
4645,Baja California Sur,130,4,226
4646,Campeche,130,4,227
4649,Chiapas,130,4,228
4650,Chihuahua,130,4,229
4647,Coahuila,130,4,230
4648,Colima,130,4,231
4652,Durango,130,4,232
4653,Guanajuato,130,4,233
4654,Guerrero,130,4,234
4655,Hidalgo,130,4,235
4656,Jalisco,130,4,236
4657,México,130,4,237
4651,Mexico City,130,4,238
4658,Michoacán de Ocampo,130,4,239
4659,Morelos,130,4,240
4660,Nayarit,130,4,241
4661,Nuevo León,130,4,242
4662,Oaxaca,130,4,243
4663,Puebla,130,4,244
4664,Querétaro,130,4,245
4665,Quintana Roo,130,4,246
4666,San Luis Potosí,130,4,247
4667,Sinaloa,130,4,248
4668,Sonora,130,4,249
4669,Tabasco,130,4,250
4670,Tamaulipas,130,4,251
4671,Tlaxcala,130,4,252
4672,Veracruz de Ignacio de la Llave,130,4,253
4673,Yucatán,130,4,254
4674,Zacatecas,130,4,255
131,Nicaragua,124,3,256
132,Panama,124,3,257
133,Venezuela,124,3,258
134,Tropical Latin America,103,2,259
135,Brazil,134,3,260
4750,Acre,135,4,261
4751,Alagoas,135,4,262
4753,Amapá,135,4,263
4752,Amazonas,135,4,264
4754,Bahia,135,4,265
4755,Ceará,135,4,266
4756,Distrito Federal,135,4,267
4757,Espírito Santo,135,4,268
4758,Goiás,135,4,269
4759,Maranhão,135,4,270
4762,Mato Grosso,135,4,271
4761,Mato Grosso do Sul,135,4,272
4760,Minas Gerais,135,4,273
4763,Pará,135,4,274
4764,Paraíba,135,4,275
4765,Paraná,135,4,276
4766,Pernambuco,135,4,277
4767,Piaui,135,4,278
4768,Rio de Janeiro,135,4,279
4769,Rio Grande do Norte,135,4,280
4772,Rio Grande do Sul,135,4,281
4770,Rondônia,135,4,282
4771,Roraima,135,4,283
4773,Santa Catarina,135,4,284
4775,São Paulo,135,4,285
4774,Sergipe,135,4,286
4776,Tocantins,135,4,287
136,Paraguay,134,3,288
137,North Africa and Middle East,1,1,289
138,North Africa and Middle East,137,2,290
160,Afghanistan,138,3,291
139,Algeria,138,3,292
140,Bahrain,138,3,293
141,Egypt,138,3,294
142,Iran,138,3,295
143,Iraq,138,3,296
144,Jordan,138,3,297
145,Kuwait,138,3,298
146,Lebanon,138,3,299
147,Libya,138,3,300
148,Morocco,138,3,301
149,Palestine,138,3,302
150,Oman,138,3,303
151,Qatar,138,3,304
152,Saudi Arabia,138,3,305
522,Sudan,138,3,306
153,Syria,138,3,307
154,Tunisia,138,3,308
155,Turkey,138,3,309
156,United Arab Emirates,138,3,310
157,Yemen,138,3,311
158,South Asia,1,1,312
159,South Asia,158,2,313
161,Bangladesh,159,3,314
162,Bhutan,159,3,315
163,India,159,3,316
164,Nepal,159,3,317
165,Pakistan,159,3,318
4,"Southeast Asia, East Asia, and Oceania",1,1,319
5,East Asia,4,2,320
6,China,5,3,321
7,North Korea,5,3,322
8,Taiwan,5,3,323
21,Oceania,4,2,324
298,American Samoa,21,3,325
25,Federated States of Micronesia,21,3,326
22,Fiji,21,3,327
351,Guam,21,3,328
23,Kiribati,21,3,329
24,Marshall Islands,21,3,330
376,Northern Mariana Islands,21,3,331
26,Papua New Guinea,21,3,332
27,Samoa,21,3,333
28,Solomon Islands,21,3,334
29,Tonga,21,3,335
30,Vanuatu,21,3,336
9,Southeast Asia,4,2,337
10,Cambodia,9,3,338
11,Indonesia,9,3,339
4709,Aceh,11,4,340
4726,Bali,11,4,341
4717,Bangka-Belitung Islands,11,4,342
4725,Banten,11,4,343
4715,Bengkulu,11,4,344
4737,Gorontalo,11,4,345
4720,Jakarta,11,4,346
4713,Jambi,11,4,347
4721,West Java,11,4,348
4722,Central Java,11,4,349
4724,East Java,11,4,350
4729,West Kalimantan,11,4,351
4731,South Kalimantan,11,4,352
4730,Central Kalimantan,11,4,353
4732,East Kalimantan,11,4,354
4719,North Kalimantan,11,4,355
4718,Riau Islands,11,4,356
4716,Lampung,11,4,357
4739,Maluku,11,4,358
4740,North Maluku,11,4,359
4727,West Nusa Tenggara,11,4,360
4728,East Nusa Tenggara,11,4,361
4742,Papua,11,4,362
4741,West Papua,11,4,363
4712,Riau,11,4,364
4738,West Sulawesi,11,4,365
4735,South Sulawesi,11,4,366
4734,Central Sulawesi,11,4,367
4736,Southeast Sulawesi,11,4,368
4733,North Sulawesi,11,4,369
4711,West Sumatra,11,4,370
4714,South Sumatra,11,4,371
4710,North Sumatra,11,4,372
4723,Yogyakarta,11,4,373
12,Laos,9,3,374
13,Malaysia,9,3,375
14,Maldives,9,3,376
183,Mauritius,9,3,377
15,Myanmar,9,3,378
16,Philippines,9,3,379
17,Sri Lanka,9,3,380
186,Seychelles,9,3,381
18,Thailand,9,3,382
19,Timor-Leste,9,3,383
20,Vietnam,9,3,384
166,Sub-Saharan Africa,1,1,385
167,Central Sub-Saharan Africa,166,2,386
168,Angola,167,3,387
169,Central African Republic,167,3,388
170,Congo,167,3,389
171,Democratic Republic of the Congo,167,3,390
172,Equatorial Guinea,167,3,391
173,Gabon,167,3,392
174,Eastern Sub-Saharan Africa,166,2,393
175,Burundi,174,3,394
176,Comoros,174,3,395
177,Djibouti,174,3,396
178,Eritrea,174,3,397
179,Ethiopia,174,3,398
180,Kenya,174,3,399
181,Madagascar,174,3,400
182,Malawi,174,3,401
184,Mozambique,174,3,402
185,Rwanda,174,3,403
187,Somalia,174,3,404
435,South Sudan,174,3,405
189,Tanzania,174,3,406
190,Uganda,174,3,407
191,Zambia,174,3,408
192,Southern Sub-Saharan Africa,166,2,409
193,Botswana,192,3,410
194,Lesotho,192,3,411
195,Namibia,192,3,412
196,South Africa,192,3,413
197,Swaziland,192,3,414
198,Zimbabwe,192,3,415
199,Western Sub-Saharan Africa,166,2,416
200,Benin,199,3,417
201,Burkina Faso,199,3,418
202,Cameroon,199,3,419
203,Cape Verde,199,3,420
204,Chad,199,3,421
205,Cote d'Ivoire,199,3,422
206,The Gambia,199,3,423
207,Ghana,199,3,424
208,Guinea,199,3,425
209,Guinea-Bissau,199,3,426
210,Liberia,199,3,427
211,Mali,199,3,428
212,Mauritania,199,3,429
213,Niger,199,3,430
214,Nigeria,199,3,431
215,Sao Tome and Principe,199,3,432
216,Senegal,199,3,433
217,Sierra Leone,199,3,434
218,Togo,199,3,435
44587,African Union,44587,0,1
44534,Commonwealth,44534,0,1
44535,Commonwealth High Income,44534,1,2
44536,Commonwealth Middle Income,44534,1,15
44537,Commonwealth Low Income,44534,1,46
4743,European Union,4743,0,1
44590,Four World Regions,44590,0,1
44559,Africa,44590,1,2
44560,America,44590,1,57
44561,Asia,44590,1,92
44562,Europe,44590,1,148
44586,G20,44586,0,1
44642,Nordic Region,44642,0,1
44584,OECD Countries,44584,0,1
479,WHO region,479,0,1
44563,African Region,479,1,2
44567,Eastern Mediterranean Region,479,1,50
44566,European Region,479,1,73
44564,Region of the Americas,479,1,125
44565,South-East Asia Region,479,1,161
44568,Western Pacific Region,479,1,173
44591,World Bank Income Levels,44591,0,1
44575,World Bank High Income,44591,1,2
44578,World Bank Low Income,44591,1,63
44577,World Bank Lower Middle Income,44591,1,95
44576,World Bank Upper Middle Income,44591,1,147
478,World Bank Regions,478,0,1
239,East Asia & Pacific - WB,478,1,2
240,Europe & Central Asia - WB,478,1,36
241,Latin America & Caribbean - WB,478,1,86
243,Middle East & North Africa - WB,478,1,121
44638,North America,478,1,143
244,South Asia - WB,478,1,147
242,Sub-Saharan Africa - WB,478,1,156
